Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_R","LED_D5.0mm_Clear",182.000000,-122.500000,180.000000,top
"D2","LED_V","LED_D5.0mm_Clear",182.500000,-135.000000,180.000000,top
"D3","LED_B","LED_D5.0mm_Clear",182.775000,-147.500000,180.000000,top
"J1","Conn_01x16","PinHeader_1x16_P2.54mm_Vertical",147.500000,-110.880000,0.000000,top
"J2","Conn_01x16","PinHeader_1x16_P2.54mm_Vertical",117.500000,-148.440000,180.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",125.000000,-88.460000,0.000000,top
"J4","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",137.000000,-88.500000,0.000000,top
"R1","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",168.310000,-141.500000,180.000000,top
"R2","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",168.310000,-134.500000,180.000000,top
"R3","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",168.310000,-127.500000,180.000000,top
"R4","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",99.190000,-130.500000,0.000000,top
"R5","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",99.190000,-138.000000,0.000000,top
"R6","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",99.690000,-149.500000,0.000000,top
"RV1","Pot","Potentiometer_Bourns_3386P_Vertical",100.420000,-115.500000,-90.000000,top
"SW1","SW_Push","SW_B3WN-6002",85.000000,-120.000000,180.000000,top
"SW2","SW_Push","SW_B3WN-6002",85.000000,-145.000000,180.000000,top
"SW3","SW_Push","SW_B3WN-6002",85.500000,-162.000000,180.000000,top
